tail_num,dep_delay,taxi_out,arr_delay,taxi_in
N953DN,11.308661417322835,17.12755905511811,4.0724409448818895,6.113385826771654
N953FR,14.603015075376884,17.33668341708543,8.49748743718593,10.27889447236181
N953LR,11.901790558871406,17.45333695062398,10.088442756375475,7.876288659793815
N953NN,10.201673640167364,18.47824267782427,5.507112970711297,10.274476987447699
N953SW,10.986578947368422,18.54,4.805526315789474,6.198684210526316
N953UW,8.633312995729103,21.327943868212326,2.853569249542404,7.024405125076266
N953WN,9.963662443222567,12.136743963662443,3.146784604350944,5.291178579966531
N954AN,13.316467341306348,18.74793008279669,8.638454461821528,10.226310947562098
N954AT,7.167105648229441,16.819139596136964,-0.8273339186420837,7.419081065261926
N954DL,7.498402555910543,16.36695572797809,1.8457325422181652,6.761296211775445
N954DN,6.357271095152603,16.68043087971275,-1.4614003590664273,6.515260323159785
N954JB,19.36598890942699,19.455945779420826,12.796672828096119,8.267406038200862
N954LR,11.484717338382472,16.966459291317285,9.19150662699486,7.8985664051934
N954NN,8.575613959500215,18.496768634209392,3.785006462731581,10.291684618698836
N954SW,18.687719298245614,21.00890688259109,16.362753036437248,8.12280701754386
N954UW,10.24746873138773,21.48927933293627,5.029184038117927,7.274865991661703
N954WN,10.558061420345489,12.262236084452976,3.7576775431861806,5.164827255278311
N955AN,13.186856302108877,19.16233447768514,9.069641981363413,10.12506130456106
N955AT,8.754948162111216,16.913289349670123,1.2758404021363494,7.2667295004712535
N955DL,7.49089787102746,15.857142857142858,1.2434433816723234,6.686825053995681
N955DN,7.212765957446808,18.29550827423168,0.2127659574468085,6.293144208037825
N955JB,14.807645631067961,19.344053398058254,7.407766990291262,8.087985436893204
N955LR,11.347374179431073,17.252461706783368,9.36816192560175,8.045404814004376
N955NN,12.028813559322034,18.895762711864407,8.166525423728814,10.614830508474576
N955SW,20.518497757847534,20.65835201793722,17.516255605381165,8.692544843049328
N955UW,9.320711417096959,21.72690763052209,3.8144004589787723,7.004302925989673
N955WN,9.195559754369391,12.234529995276334,2.310108644307983,5.205007085498346
