origin_airport_id,fl_month,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10245,7,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25
10245,8,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
10257,1,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01853997682502897,0.0
10257,2,8.5,15.0,0.0,0.0,0.0,0.0,0.0,0.028205128205128206,0.0
10257,3,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0
10257,4,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.009603841536614645,0.0
10257,5,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.020954598370197905,0.0
10257,6,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.010575793184488837,0.0
10257,7,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.013363028953229399,0.0011135857461024498
10257,8,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01768990634755463,0.0
10257,9,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.004335260115606936,0.001445086705202312
10257,10,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0038412291933418692,0.0
10257,11,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0067039106145251395,0.0
10257,12,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.020089285714285716,0.0011160714285714285
10268,1,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0
10268,2,13.0,23.0,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0
10268,3,3.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,4,6.0,9.5,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
10268,5,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
10268,6,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0
10268,7,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
