dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10208,9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
10208,10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10208,11,12.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
10208,12,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
10245,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10257,1,13.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0
10257,2,6.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0
10257,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10257,4,13.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
10257,5,18.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0
10257,6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10257,7,14.5,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0
10257,8,15.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0
10257,9,7.5,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0
10257,10,9.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
10257,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941
10257,12,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425
10268,1,18.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
10268,2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,5,21.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0
10268,6,42.5,0.0,29.5,8.5,0.0,0.0,0.0,0.0
10268,7,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,8,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10268,9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,10,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,11,42.5,22.0,2.5,6.5,0.0,0.0,0.0,0.0
10268,12,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,1,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
