holidate,origin_airport_id,dest_airport_id,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,cancelled
0,10140,13232,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,13487,-5.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,13796,-1.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,13930,-3.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14057,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14107,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14679,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14683,1.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14747,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14771,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14831,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14869,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,14908,-5.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10141,13487,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10146,10397,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10154,10721,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10154,11057,-5.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10154,11278,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10154,11618,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10154,12197,-5.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10154,12478,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10154,12953,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10155,11298,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10157,11292,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10157,12892,-6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10157,14771,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,10397,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,11697,-5.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,13204,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,13495,-8.0,-6.5,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,13577,-7.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,14027,-8.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,14635,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,15304,-6.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10165,10299,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10170,10299,-8.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10185,10397,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10185,11298,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10185,12266,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,10397,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,11057,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,11278,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,11298,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,12953,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,13303,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,13930,14.0,29.0,0.0,0.0,14.0,0.0,0.0,0.0
0,10208,14100,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,10245,10299,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,10397,-4.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,10821,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11057,-5.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11278,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11292,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11433,-5.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11618,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11697,-1.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,12264,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,12889,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13204,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13232,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13487,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13577,-5.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13930,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14082,-3.5,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14100,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14112,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14492,-10.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14635,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14685,-9.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14761,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,15304,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10268,13930,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10275,14747,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,11259,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,11292,-8.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,11298,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,12191,-3.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,12266,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,12889,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,14107,-8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10165,-7.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10170,-8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10245,-7.5,-4.5,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10397,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10551,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10666,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10754,-6.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10926,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11292,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11298,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11336,-8.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11445,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11618,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11630,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12173,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12266,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12523,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12758,-7.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12889,-2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12892,-4.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13487,-3.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13830,-8.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13873,-8.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13930,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13970,-7.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14057,-6.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14107,-3.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14709,-6.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14747,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14771,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14869,-5.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10333,11433,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10333,14150,-6.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10361,14100,-8.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10372,10397,-6.5,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10372,11292,-8.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10372,11298,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10372,12266,-5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10372,12892,-8.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10372,13487,-5.0,-16.5,0.0,0.0,0.0,0.0,0.0,0.0
