tail_num,dep_delay,arr_delay,isCraft,isCarrier
N134AN,8.0,9.0,0.13315579227696406,0.7270306258322237
N134EV,15.0,17.0,0.23393939393939395,0.5781818181818181
N134HQ,6.0,11.0,0.16779825412221144,0.6430649854510184
N134SY,6.0,12.0,0.1550632911392405,0.6445147679324894
N13538,12.0,18.0,0.19572953736654805,0.5575326215895611
N13550,7.0,15.0,0.15416666666666667,0.5833333333333334
N13553,12.0,20.0,0.18118466898954705,0.5365853658536586
N13566,7.0,18.0,0.17329545454545456,0.5596590909090909
N135EV,12.0,14.0,0.1947565543071161,0.6392009987515606
N135HQ,6.0,13.0,0.19507389162561575,0.6029556650246305
N135NN,10.0,10.0,0.15810276679841898,0.7101449275362319
N135SY,8.0,14.0,0.15640766902119072,0.644803229061554
N136AN,10.0,10.0,0.145993413830955,0.7365532381997805
N136EV,14.0,16.0,0.19681456200227532,0.5995449374288965
N136HQ,6.0,12.0,0.18293838862559242,0.623696682464455
N136SY,4.0,10.0,0.12025316455696203,0.6856540084388185
N13716,9.0,14.0,0.1623931623931624,0.6182336182336182
N13718,10.0,18.0,0.1856925418569254,0.5494672754946728
N13720,9.5,15.0,0.17491166077738515,0.5954063604240283
N13750,10.0,14.0,0.17259786476868327,0.5925266903914591
N137AA,10.0,10.0,0.16350210970464135,0.7056962025316456
N137EV,15.0,15.0,0.1969860064585576,0.6318622174381054
N137HQ,6.0,12.0,0.1786492374727669,0.6154684095860566
N138AN,10.0,11.0,0.16027088036117382,0.6817155756207675
N138EV,16.0,18.0,0.2226148409893993,0.5806831566548881
N138HQ,7.0,13.0,0.1822759315206445,0.6183282980866063
N138SY,5.0,11.0,0.1348314606741573,0.6561797752808989
N13903,10.0,18.0,0.19458762886597938,0.5463917525773195
N13908,8.0,17.0,0.15701415701415702,0.5958815958815958
N13913,18.0,23.0,0.2132921174652241,0.5100463678516228
N13954,28.0,26.0,0.14285714285714285,0.6857142857142857
N13975,6.5,15.0,0.12677725118483413,0.6101895734597157
N13978,11.0,19.0,0.18727050183598531,0.5446756425948592
N13979,14.0,20.0,0.1772784019975031,0.5518102372034956
N13988,15.0,21.0,0.20212765957446807,0.524822695035461
N13989,12.0,19.0,0.18122555410691005,0.5567144719687093
N13992,10.0,17.0,0.15474452554744525,0.581021897810219
N13995,11.0,18.0,0.163003663003663,0.5824175824175825
N139AN,9.0,10.0,0.14112458654906285,0.7177508269018743
N139SY,7.0,13.0,0.14922279792746113,0.6435233160621762
N14001,12.0,14.5,0.10666666666666667,0.6933333333333334
N1402A,9.0,5.0,0.07852193995381063,0.8244803695150116
