origin_airport_id,fl_month,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay
11630,1,-10.0,-16.0,0.0,0.0,0.0,0.0,0.0
11630,2,-9.0,-14.0,0.0,0.0,0.0,0.0,0.0
11630,3,-9.0,-11.0,0.0,0.0,0.0,0.0,0.0
11630,4,-11.0,-13.0,0.0,0.0,0.0,0.0,0.0
11630,5,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0
11630,6,-8.0,-11.0,0.0,0.0,0.0,0.0,0.0
11630,7,-8.0,-11.0,0.0,0.0,0.0,0.0,0.0
11630,8,-7.0,-10.0,0.0,0.0,0.0,0.0,0.0
11630,9,-8.0,-10.0,0.0,0.0,0.0,0.0,0.0
11630,10,-9.0,-10.0,0.0,0.0,0.0,0.0,0.0
11630,11,-7.0,-11.0,0.0,0.0,0.0,0.0,0.0
11630,12,-6.0,-11.0,0.0,0.0,0.0,0.0,0.0
11637,1,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0
11637,2,-1.0,2.0,0.0,0.0,0.0,0.0,0.0
11637,3,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
11637,4,-6.0,-11.0,0.0,0.0,0.0,0.0,0.0
11637,5,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11637,6,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
11637,7,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
11637,8,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
11637,9,-5.0,-11.0,0.0,0.0,0.0,0.0,0.0
11637,10,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
11637,11,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
11637,12,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0
11638,1,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
11638,2,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11638,3,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11638,4,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
11638,5,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11638,6,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11638,7,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11638,8,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11638,9,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11638,10,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11638,11,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11638,12,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11641,1,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
11641,2,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
11641,3,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
11641,4,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11641,5,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
11641,6,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0
11641,7,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
11641,8,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
11641,9,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0
11641,10,-3.0,-8.0,0.0,0.0,0.0,0.0,0.0
11641,11,-3.0,-8.0,0.0,0.0,0.0,0.0,0.0
11641,12,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
11648,1,-4.5,-6.0,0.0,0.0,0.0,0.0,0.0
11648,2,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0
11648,3,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
11648,4,-7.0,-8.0,0.0,0.0,0.0,0.0,0.0
11648,5,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
11648,6,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0
11648,7,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11648,8,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11648,9,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
11648,10,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
11648,11,-5.0,-12.0,0.0,0.0,0.0,0.0,0.0
11648,12,-5.0,-11.0,0.0,0.0,0.0,0.0,0.0
11695,1,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0
11695,2,-3.0,-8.0,0.0,0.0,0.0,0.0,0.0
