dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay
11618,7,-1.0,0.0,0.0,0.0,0.0,0.0
11618,8,1.0,0.0,0.0,0.0,0.0,0.0
11618,9,-5.0,0.0,0.0,0.0,0.0,0.0
11618,10,-4.0,0.0,0.0,0.0,0.0,0.0
11618,11,-3.0,0.0,0.0,0.0,0.0,0.0
11618,12,0.0,0.0,0.0,0.0,0.0,0.0
11624,1,-5.0,0.0,0.0,0.0,0.0,0.0
11624,2,-7.0,0.0,0.0,0.0,0.0,0.0
11624,3,-9.0,0.0,0.0,0.0,0.0,0.0
11624,4,-9.0,0.0,0.0,0.0,0.0,0.0
11624,5,-7.0,0.0,0.0,0.0,0.0,0.0
11624,6,-7.0,0.0,0.0,0.0,0.0,0.0
11624,7,-7.0,0.0,0.0,0.0,0.0,0.0
11624,8,-7.0,0.0,0.0,0.0,0.0,0.0
11624,9,-11.0,0.0,0.0,0.0,0.0,0.0
11624,10,-6.5,0.0,0.0,0.0,0.0,0.0
11624,11,-7.0,0.0,0.0,0.0,0.0,0.0
11624,12,-5.0,0.0,0.0,0.0,0.0,0.0
11630,1,-11.0,0.0,0.0,0.0,0.0,0.0
11630,2,-5.0,0.0,0.0,0.0,0.0,0.0
11630,3,-9.0,0.0,0.0,0.0,0.0,0.0
11630,4,-8.0,0.0,0.0,0.0,0.0,0.0
11630,5,-8.0,0.0,0.0,0.0,0.0,0.0
11630,6,-7.0,0.0,0.0,0.0,0.0,0.0
11630,7,-8.0,0.0,0.0,0.0,0.0,0.0
11630,8,-3.0,0.0,0.0,0.0,0.0,0.0
11630,9,-7.0,0.0,0.0,0.0,0.0,0.0
11630,10,-7.0,0.0,0.0,0.0,0.0,0.0
11630,11,-8.0,0.0,0.0,0.0,0.0,0.0
11630,12,-8.0,0.0,0.0,0.0,0.0,0.0
11637,1,-5.0,0.0,0.0,0.0,0.0,0.0
11637,2,-4.0,0.0,0.0,0.0,0.0,0.0
11637,3,-7.0,0.0,0.0,0.0,0.0,0.0
11637,4,-7.0,0.0,0.0,0.0,0.0,0.0
11637,5,-7.0,0.0,0.0,0.0,0.0,0.0
11637,6,-4.0,0.0,0.0,0.0,0.0,0.0
11637,7,-5.0,0.0,0.0,0.0,0.0,0.0
11637,8,-6.0,0.0,0.0,0.0,0.0,0.0
11637,9,-8.0,0.0,0.0,0.0,0.0,0.0
11637,10,-7.0,0.0,0.0,0.0,0.0,0.0
11637,11,-7.0,0.0,0.0,0.0,0.0,0.0
11637,12,-9.0,0.0,0.0,0.0,0.0,0.0
11638,1,-7.0,0.0,0.0,0.0,0.0,0.0
11638,2,-5.0,0.0,0.0,0.0,0.0,0.0
11638,3,-6.0,0.0,0.0,0.0,0.0,0.0
11638,4,-8.0,0.0,0.0,0.0,0.0,0.0
11638,5,-6.0,0.0,0.0,0.0,0.0,0.0
11638,6,-5.0,0.0,0.0,0.0,0.0,0.0
11638,7,-5.0,0.0,0.0,0.0,0.0,0.0
11638,8,-4.0,0.0,0.0,0.0,0.0,0.0
11638,9,-8.0,0.0,0.0,0.0,0.0,0.0
11638,10,-8.0,0.0,0.0,0.0,0.0,0.0
11638,11,-9.0,0.0,0.0,0.0,0.0,0.0
11638,12,-6.0,0.0,0.0,0.0,0.0,0.0
11641,1,-5.0,0.0,0.0,0.0,0.0,0.0
11641,2,-5.0,0.0,0.0,0.0,0.0,0.0
11641,3,-5.0,0.0,0.0,0.0,0.0,0.0
11641,4,-7.0,0.0,0.0,0.0,0.0,0.0
11641,5,-5.0,0.0,0.0,0.0,0.0,0.0
11641,6,-4.0,0.0,0.0,0.0,0.0,0.0
11641,7,-4.0,0.0,0.0,0.0,0.0,0.0
11641,8,-4.0,0.0,0.0,0.0,0.0,0.0
11641,9,-5.0,0.0,0.0,0.0,0.0,0.0
11641,10,-5.0,0.0,0.0,0.0,0.0,0.0
11641,11,-5.0,0.0,0.0,0.0,0.0,0.0
11641,12,-4.0,0.0,0.0,0.0,0.0,0.0
11648,1,-8.0,0.0,0.0,0.0,0.0,0.0
